S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
290,LTA,Parking Lot,Vehicle Type,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",SGPset_BuildingElementProxy,VehicleType,Label,N.A,N.A,N.A,Rigid-framed vehicle,"IfcBuildingElementProxyLORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
291,LTA,Parking Lot,Bicycle Rack Type,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*BICYCLELOT,SGPset_BuildingElementProxy,BicycleRack_Type,Label,N.A,N.A,"Single-Tier Wheel Rack, Single-Tier U-Bar, Double-Tier",N.A,IfcBuildingElementProxyBICYCLELOT,okay,BuildingElementProxy,BuildingElementProxy,okay
292,LTA,Parking Lot (relevant elements),Space Name,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SpaceName,Label,N.A,N.A,Parking place,N.A,IfcSpaceSPACE,check,Space,Space,okay
293,BCA,Parking Lot (relevant elements),Ventilation Mode,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,VentilationMode,Label,N.A,N.A,"Natural Ventilation, Air Conditioning, Mechanical Ventilation",N.A,IfcSpaceSPACE,check,Space,Space,okay
294,BCA,Parking Lot (relevant elements),Area,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Area,Area,m2,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
295,URA,Parking Lot (relevant elements),AGF_Name,Parking,Object,N.A,Object,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_Name,Label,N.A,N.A,Car Parking Lot (Mechanised),N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
296,LTA,Parking Lot (relevant elements),Length,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*HOLDINGBAY,SGPset_BuildingElementProxyDimension,Length,Length,mm,N.A,N.A,N.A,IfcBuildingElementProxyHOLDINGBAY,okay,BuildingElementProxy,BuildingElementProxy,okay
297,LTA,Parking Lot (relevant elements),Width,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*HOLDINGBAY,SGPset_BuildingElementProxyDimension,Width,Length,mm,N.A,N.A,N.A,IfcBuildingElementProxyHOLDINGBAY,okay,BuildingElementProxy,BuildingElementProxy,okay
298,LTA,Parking Lot (relevant elements),Length,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*QUEUINGSPACE,SGPset_BuildingElementProxyDimension,Length,Length,mm,N.A,N.A,N.A,IfcBuildingElementProxyQUEUINGSPACE,okay,BuildingElementProxy,BuildingElementProxy,okay
299,LTA,Parking Lot (relevant elements),Width,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*QUEUINGSPACE,SGPset_BuildingElementProxyDimension,Width,Length,mm,N.A,N.A,N.A,IfcBuildingElementProxyQUEUINGSPACE,okay,BuildingElementProxy,BuildingElementProxy,okay
300,BCA,Pile,Borehole Ref,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,BoreholeRef,Label,N.A,N.A,N.A,"BH2, BH3, BH12-2",IfcPileN.A,skip,Pile,Pile,okay
301,BCA,Pile,Breadth,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,Breadth,Length,mm,N.A,N.A,300,IfcPileN.A,skip,Pile,Pile,okay
302,BCA,Pile,Construction Method,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcPileN.A,skip,Pile,Pile,okay
303,BCA,Pile,CutOffLevel_SHD,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,CutOffLevel_SHD,Real,SHD m,N.A,N.A,-1.35,IfcPileN.A,skip,Pile,Pile,okay
304,BCA,Pile,DA1-1 Compression Capacity,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,DA1-1_CompressionCapacity,Integer,kN,N.A,N.A,5683,IfcPileN.A,skip,Pile,Pile,okay
305,BCA,Pile,DA1-1 Compression Design Load,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileStructuralLoad,DA1-1_CompressionDesignLoad,Integer,kN,N.A,N.A,5515,IfcPileN.A,skip,Pile,Pile,okay
306,BCA,Pile,DA1-1 Tension Capacity,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,DA1-1_TensionCapacity,Integer,kN,N.A,N.A,3655,IfcPileN.A,skip,Pile,Pile,okay
307,BCA,Pile,DA1-1 Tension Design Load,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileStructuralLoad,DA1-1_TensionDesignLoad,Integer,kN,N.A,N.A,3255,IfcPileN.A,skip,Pile,Pile,okay
308,BCA,Pile,DA1-2 Compression Capacity,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,DA1-2_CompressionCapacity,Integer,kN,N.A,N.A,4823,IfcPileN.A,skip,Pile,Pile,okay
309,BCA,Pile,DA1-2 Compression Design Load,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileStructuralLoad,DA1-2_CompressionDesignLoad,Integer,kN,N.A,N.A,4650,IfcPileN.A,skip,Pile,Pile,okay
310,BCA,Pile,DA1-2 Tension Capacity,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,DA1-2_TensionCapacity,Integer,kN,N.A,N.A,3025,IfcPileN.A,skip,Pile,Pile,okay
311,BCA,Pile,DA1-2 Tension Design Load,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileStructuralLoad,DA1-2_TensionDesignLoad,Integer,kN,N.A,N.A,2850,IfcPileN.A,skip,Pile,Pile,okay
312,BCA,Pile,Diameter,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,Diameter,Length,mm,N.A,N.A,600,IfcPileN.A,skip,Pile,Pile,okay
313,BCA,Pile,Length,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,Length,Length,mm,N.A,N.A,40000,IfcPileN.A,skip,Pile,Pile,okay
314,BCA,Pile,Main Rebar,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileReinforcement,MainRebar,Label,N.A,N.A,N.A,10H32+10H16,IfcPileN.A,skip,Pile,Pile,okay
315,BCA,Pile,Mark,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,Mark,Label,N.A,N.A,N.A,P156,IfcPileN.A,skip,Pile,Pile,okay
316,BCA,Pile,Material Grade,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,IfcPileN.A,skip,Pile,Mate,check
317,BCA,Pile,Member Section,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,MemberSection,Label,N.A,N.A,N.A,"CHS500x3.0, 254x254x63 kg/m",IfcPileN.A,skip,Pile,Pile,okay
318,BCA,Pile,Min Embedment Into Bearing Layer SPT More Than 100 N,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,MinEmbedmentIntoBearingLayer_SPT_MoreThan_100N,Real,m,N.A,N.A,16.5,IfcPileN.A,skip,Pile,Pile,okay
319,BCA,Pile,Min Embedment Into Bearing Layer SPT More Than 60 N,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,MinEmbedmentIntoBearingLayer_SPT_MoreThan_60N,Real,m,N.A,N.A,23.2,IfcPileN.A,skip,Pile,Pile,okay
320,BCA,Pile,Min Rock Socketing Length,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,MinRockSocketingLength,Real,m,N.A,N.A,16.5,IfcPileN.A,skip,Pile,Pile,okay
321,BCA,Pile,Negative Skin Friction,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileStructuralLoad,NegativeSkinFriction,Integer,kN,N.A,N.A,135,IfcPileN.A,skip,Pile,Pile,okay
322,BCA,Pile,Pile Type,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileReinforcement,PileType,Label,N.A,N.A,"Driven, Bored, Jacked in",N.A,IfcPileN.A,skip,Pile,Pile,okay
323,BCA,Pile,Reinforcement Length,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileReinforcement,ReinforcementLength,Label,m,N.A,N.A,"Fully reinforced, Unreinforced, 12, 18, 24, 30, 36",IfcPileN.A,skip,Pile,Pile,okay
324,BCA,Pile,Reinforcement Steel Grade,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,ReinforcementSteelGrade,Label,N.A,N.A,"500A, 500B, 500C, 600A, 600B, 600C",N.A,IfcPileN.A,skip,Pile,Pile,okay
325,BCA,Pile,Stirrups,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileReinforcement,Stirrups,Label,N.A,N.A,N.A,1H16-250,IfcPileN.A,skip,Pile,Pile,okay
326,BCA,Pile,Structural Compression Capacity,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,StructuralCompressionCapacity,Integer,kN,N.A,N.A,6525,IfcPileN.A,skip,Pile,Pile,okay
327,BCA,Pile,Structural Tension Capacity,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_Pile,StructuralTensionCapacity,Integer,kN,N.A,N.A,3825,IfcPileN.A,skip,Pile,Pile,okay
328,BCA,Pile,ToeLevel_SHD,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,ToeLevel_SHD,Real,SHD m,N.A,N.A,-63.35,IfcPileN.A,skip,Pile,Pile,okay
329,BCA,Pile,Width,Structural Foundations,Object,Concrete Column,Base Plate,STR,IfcPile,N.A,SGPset_PileDimension,Width,Length,mm,N.A,N.A,600,IfcPileN.A,skip,Pile,Pile,okay
330,BCA,Pile,Pile Model Factor,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,PileModelFactor,Real,N.A,N.A,N.A,1.35 / 1.55,IfcBuildingN.A,skip,Building,PilingDe,check
331,BCA,Pile,Shaft R4 Design Factor,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,ShaftR4DesignFactor,Real,N.A,N.A,N.A,N.A,IfcBuildingN.A,skip,Building,PilingDe,check
332,BCA,Pile,End Bearing R4 Design Factor,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,EndBearingR4DesignFactor,Real,N.A,N.A,N.A,N.A,IfcBuildingN.A,skip,Building,PilingDe,check
333,BCA,Pile,No of ULT Test,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,NoOfULTTest,Integer,N.A,N.A,N.A,2,IfcBuildingN.A,skip,Building,PilingDe,check
334,BCA,Pile,No of Working Load Test - Maintained Load Test,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,NoOfWorkingLoadTest_MaintainedLoadTest,Integer,N.A,N.A,N.A,3,IfcBuildingN.A,skip,Building,PilingDe,check
335,BCA,Pile,No of Working Load Test - Rapid Load Test,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,NoOfWorkingLoadTest_RapidLoadTest,Integer,N.A,N.A,N.A,3,IfcBuildingN.A,skip,Building,PilingDe,check
336,BCA,Pile,No Of Non Destructive Test Pile,Project Information,IFC Project Manager,N.A,Floor Manager,STR,IfcBuilding,N.A,SGPset_PilingDesignParameter,NoOfNonDestructiveTestPile,Integer,N.A,N.A,N.A,8,IfcBuildingN.A,skip,Building,PilingDe,check
337,PUB,Pipes/ Ducts,N.A,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,RIGIDSEGMENT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeSegmentRIGIDSEGMENT,check,PipeSegment,#N/A,#N/A
338,PUB,Pipes/ Ducts,N.A,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,FLEXIBLESEGMENT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeSegmentFLEXIBLESEGMENT,check,PipeSegment,#N/A,#N/A
339,BCA,Pipes/ Ducts,Pre-insulated,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
340,NPARKS,Pipes/ Ducts,Perforated,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,Perforated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
341,BCA,Pipes/ Ducts,Construction Method,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,ConstructionMethod,Label,N.A,N.A,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
342,PUB,Pipes/ Ducts,Material,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_Material,Material,Label,N.A,Name,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,Material,check
343,PUB,Pipes/ Ducts,Gradient,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,Gradient,Label,N.A,N.A,N.A,1:100,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
344,PUB,Pipes/ Ducts,Inner Diameter,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegmentDimension,InnerDiameter,Length,mm,N.A,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
345,PUB,Pipes/ Ducts,Length,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegmentDimension,Length,Length,mm,N.A,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
346,PUB,Pipes/ Ducts,Thickness,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegmentDimension,Thickness,Length,mm,N.A,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
347,NEA,Pipes/ Ducts,Trade Effluent,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
348,PUB,Pipes/ Ducts,Demountable Structure Above Pipe,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,DemountableStructureAbovePipe,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
349,PUB,Pipes/ Ducts,System Type,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,SystemType,Label,N.A,N.A,N.A,"Sanitary, Sewerage","IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
350,PUB,Pipes/ Ducts,System Name,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,SystemName,Label,N.A,N.A,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
351,BCA,Pipes/ Ducts,Pre-insulated,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
352,BCA,Pipes/ Ducts,Construction Method,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,ConstructionMethod,Label,N.A,N.A,N.A,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
353,NEA,Pipes/ Ducts,Trade Effluent,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
354,BCA,Pipes/ Ducts,System Type,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,SystemType,Label,N.A,N.A,N.A,"Sanitary, Sewerage, Kitchen Exhaust Air, Genset Exhaust Air, ACMV Exhaust Air, ACMV Fresh Air Intake, Pollution Control Equipment Exhaust Air, PWCS Exhaust Air, PWCS Air Intake, Carpark Exhaust Air, Carpark Fresh Air Intake",IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
355,BCA,Pipes/ Ducts,System Name,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,SystemName,Label,N.A,N.A,N.A,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
356,BCA,Pipes/ Ducts,Pre-insulated,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,N.A,SGPset_DuctSegment,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcDuctSegmentN.A,skip,DuctSegment,DuctSegment,okay
357,BCA,Pipes/ Ducts,Construction Method,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,N.A,SGPset_DuctSegment,ConstructionMethod,Label,N.A,N.A,N.A,N.A,IfcDuctSegmentN.A,skip,DuctSegment,DuctSegment,okay
358,NEA,Pipes/ Ducts,Trade Effluent,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,N.A,SGPset_DuctSegment,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcDuctSegmentN.A,skip,DuctSegment,DuctSegment,okay
359,BCA,Pipes/ Ducts,System Type,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,N.A,SGPset_DuctSegment,SystemType,Label,N.A,N.A,N.A,"Sanitary, Sewerage, Kitchen Exhaust Air, Genset Exhaust Air, ACMV Exhaust Air, ACMV Fresh Air Intake, Pollution Control Equipment Exhaust Air, PWCS Exhaust Air, PWCS Air Intake, Carpark Exhaust Air, Carpark Fresh Air Intake",IfcDuctSegmentN.A,skip,DuctSegment,DuctSegment,okay
360,BCA,Pipes/ Ducts,System Name,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,N.A,SGPset_DuctSegment,SystemName,Label,N.A,N.A,N.A,N.A,IfcDuctSegmentN.A,skip,DuctSegment,DuctSegment,okay
361,NEA,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,BEND,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingBEND,check,PipeFitting,#N/A,#N/A
362,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,*DRAINCHANNELBEND,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingDRAINCHANNELBEND,okay,PipeFitting,#N/A,#N/A
363,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,ENTRY,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingENTRY,check,PipeFitting,#N/A,#N/A
364,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,EXIT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingEXIT,check,PipeFitting,#N/A,#N/A
365,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,*FLANGEADAPTOR,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingFLANGEADAPTOR,okay,PipeFitting,#N/A,#N/A
366,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,*FLEXIBLECOUPLING,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingFLEXIBLECOUPLING,okay,PipeFitting,#N/A,#N/A
367,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,JUNCTION,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingJUNCTION,check,PipeFitting,#N/A,#N/A
368,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,OBSTRUCTION,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingOBSTRUCTION,check,PipeFitting,#N/A,#N/A
369,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,*PIPESILENCER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingPIPESILENCER,okay,PipeFitting,#N/A,#N/A
370,PUB,Pipes/ Ducts,N.A,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,*SHORTPIECE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeFittingSHORTPIECE,okay,PipeFitting,#N/A,#N/A
371,PUB,Pipes/ Ducts,Inner Diameter,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,"BEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",SGPset_PipeFittingDimension,InnerDiameter,Length,mm,N.A,N.A,N.A,"IfcPipeFittingBEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",skip,PipeFitting,PipeFitting,okay
372,NEA,Pipes/ Ducts,Nominal Diameter,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,"BEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",SGPset_PipeFittingDimension,NominalDiameter,Length,mm,N.A,N.A,N.A,"IfcPipeFittingBEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",skip,PipeFitting,PipeFitting,okay
373,PUB,Pipes/ Ducts,Outer Diameter,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,"BEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",SGPset_PipeFittingDimension,OuterDiameter,Length,mm,N.A,N.A,N.A,"IfcPipeFittingBEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",skip,PipeFitting,PipeFitting,okay
374,PUB,Pipes/ Ducts,Thickness,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,"BEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",SGPset_PipeFittingDimension,Thickness,Length,mm,N.A,N.A,N.A,"IfcPipeFittingBEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",skip,PipeFitting,PipeFitting,okay
375,PUB,Pipes/ Ducts,System Type,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,"BEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",SGPset_PipeFitting,SystemType,Label,N.A,N.A,N.A,"Sanitary, Sewerage","IfcPipeFittingBEND, *DRAINCHANNELBEND, ENTRY, EXIT, *FLANGEADAPTOR, *FLEXIBLECOUPLING, JUNCTION, OBSTRUCTION, *PIPESILENCER, *SHORTPIECE",skip,PipeFitting,PipeFitting,okay
